,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,best_step
0,h,1,c,3,4,h,c,h,c,[4]
1,h,c,2,h,4,5,c,h,c,[2]
2,0,1,2,h,c,5,c,h,8,[2]
3,h,1,h,3,h,c,c,7,c,[7]
4,c,c,h,h,h,5,6,7,8,"[5, 6, 7, 8]"
5,h,1,h,c,h,5,c,h,c,[1]
6,0,1,2,c,h,5,c,h,8,[0]
7,0,c,2,3,h,h,6,c,8,[3]
8,0,h,h,c,4,5,c,h,8,[0]
9,c,c,h,3,4,5,h,7,h,"[3, 4, 5, 7]"
10,h,1,2,h,c,5,6,c,h,[1]
11,c,c,h,h,c,h,6,h,8,[8]
12,0,h,c,h,4,c,c,h,8,"[4, 8]"
13,h,1,h,3,4,c,6,c,8,[1]
14,0,h,h,h,4,c,h,c,c,"[0, 4]"
15,c,h,2,3,c,h,6,c,h,[2]
16,0,c,2,3,c,h,c,h,h,[2]
17,h,1,h,h,c,c,6,c,h,[1]
18,h,h,2,3,c,c,c,h,h,"[2, 3]"
19,c,h,2,h,c,h,c,c,h,[2]
20,h,1,c,3,4,5,c,h,8,[4]
21,h,c,2,3,h,5,c,7,8,[8]
22,c,1,h,3,4,5,6,7,h,[5]
23,h,c,h,c,4,h,6,7,c,[7]
24,h,h,2,c,4,5,6,7,c,[2]
25,0,1,h,h,4,5,6,7,c,[6]
26,0,1,h,h,c,h,6,c,8,[1]
27,c,h,2,h,4,5,6,7,8,"[4, 5, 7]"
28,h,h,2,3,h,c,6,7,c,[2]
29,c,1,h,c,h,5,6,h,c,[6]
30,h,1,2,c,c,h,6,h,8,"[2, 8]"
31,h,h,c,3,h,h,c,c,8,[8]
32,0,1,c,h,4,5,c,h,h,[4]
33,h,c,h,c,c,h,6,h,8,[8]
34,c,h,2,3,4,5,6,7,8,"[3, 4, 6]"
35,h,1,h,c,4,5,6,7,8,[1]
36,0,1,2,h,c,5,h,7,8,[0]
37,0,1,c,h,c,c,h,7,h,"[0, 1, 7]"
38,0,c,h,3,c,h,6,7,8,[7]
39,c,1,2,c,h,h,h,7,8,[2]
40,0,1,c,3,4,5,6,7,h,"[0, 1, 6]"
41,0,c,c,c,h,h,6,h,h,[0]
42,c,h,h,h,c,c,6,c,h,[6]
43,c,1,h,3,4,c,h,7,8,[4]
44,c,1,h,3,h,5,c,h,8,[3]
45,c,1,2,h,h,5,6,c,8,[5]
46,c,c,2,c,4,h,h,h,8,[2]
47,c,c,h,h,h,5,c,h,c,[5]
48,h,h,c,3,c,5,h,h,c,[5]
49,0,1,2,h,4,5,c,h,c,"[2, 4]"
50,h,1,c,3,4,5,h,7,8,[3]
51,c,1,2,h,4,5,6,7,h,"[2, 4, 5]"
52,0,1,2,3,c,h,h,7,c,[0]
53,c,h,h,h,h,c,6,7,c,"[6, 7]"
54,h,1,2,c,4,c,6,h,8,[4]
55,h,c,2,3,4,c,h,h,8,"[2, 3, 4, 8]"
56,c,1,2,3,h,5,h,7,8,[2]
57,h,c,c,3,4,h,6,h,8,"[3, 4, 6, 8]"
58,0,1,2,h,c,5,6,7,h,"[0, 1, 6, 7]"
59,h,1,2,3,4,h,6,c,8,[4]
60,h,h,c,c,c,h,6,h,8,[6]
61,h,c,c,3,4,c,6,h,h,"[3, 4, 6]"
62,c,1,2,3,h,5,6,c,h,"[2, 3, 5, 6]"
63,0,c,2,h,4,5,h,7,8,[0]
64,h,c,2,c,h,c,6,h,8,[8]
65,0,1,2,3,4,c,6,7,h,"[0, 4, 6, 7]"
66,h,1,2,3,c,5,h,7,8,[3]
67,h,c,2,3,4,5,h,7,8,[3]
68,0,h,2,c,4,c,h,h,8,[4]
69,c,c,2,h,4,5,6,7,h,[2]
70,0,h,2,3,h,c,6,c,h,[0]
71,c,h,2,h,c,h,6,c,h,[2]
72,h,c,2,c,h,h,c,h,c,[2]
73,c,c,h,3,h,5,c,h,8,[3]
74,h,1,c,h,c,h,6,c,h,"[1, 6]"
75,c,h,2,3,4,h,6,c,8,"[6, 8]"
76,c,h,2,h,4,c,h,7,8,[8]
77,0,1,c,3,c,h,h,7,h,[7]
78,c,h,h,h,c,5,c,h,8,[8]
79,c,c,h,3,c,h,h,h,8,[8]
80,0,1,2,3,c,5,6,h,8,"[0, 2, 3, 5, 6, 8]"
81,c,c,h,3,h,h,6,c,8,"[3, 6, 8]"
82,0,h,c,3,4,5,h,c,8,"[0, 3, 4, 5, 8]"
83,h,c,c,c,4,h,h,7,8,"[4, 7, 8]"
84,h,1,2,h,c,c,c,7,h,[2]
85,0,c,2,h,4,5,c,7,h,"[2, 4]"
